Price,Close,High,Low,Open,Volume
2010-01-04,6.440330982208252,6.455076781226995,6.391278499172716,6.422876697326148,493729600
2010-01-05,6.4514665603637695,6.487879848401319,6.417460413781116,6.458087304295299,601904800
2010-01-06,6.348846435546875,6.477045280657176,6.342225692663006,6.451465539489639,552160000
2010-01-07,6.337110996246338,6.3798444920330555,6.291067931697854,6.372320918515503,477131200
2010-01-08,6.379240989685059,6.37984327724476,6.291368480282735,6.328683790652659,447610800
2010-01-11,6.322968006134033,6.409938106927058,6.273012280593859,6.403919247996197,462229600
2010-01-12,6.251041412353516,6.3127338927434735,6.211920047406048,6.295278805728234,594459600
2010-01-13,6.339216232299805,6.34764263282566,6.1421038718775645,6.255556925343339,605892000
2010-01-14,6.302502155303955,6.333498868494199,6.290163899676365,6.322966270050092,432894000
2010-01-15,6.197173595428467,6.367804556471864,6.195367938527105,6.347641387739988,594067600
2010-01-19,6.471328258514404,6.475842402292385,6.236598808953662,6.2694003816948065,730007600
2010-01-20,6.371719837188721,6.486676833459616,6.304610762549071,6.467416885830224,612152800
2010-01-21,6.261575222015381,6.419266090887947,6.235694935607777,6.3822513187179455,608154400
2010-01-22,5.9510087966918945,6.244421252148021,5.933253971692852,6.22275417000318,881767600
2010-01-25,6.111107349395752,6.16015943254039,6.024437807372042,6.0942549496076115,1065699600
2010-01-26,6.197473526000977,6.431300833229363,6.096359166796768,6.197774468768717,1867110000
2010-01-27,6.255856990814209,6.337109150378845,6.0045749318299,6.224860278743567,1722568400
2010-01-28,5.997352600097656,6.184234090635702,5.9795977756648,6.1670811518983895,1173502400
2010-01-29,5.779776096343994,6.0849253109659465,5.725306646729277,6.05122051588178,1245952400
2010-02-01,5.8601274490356445,5.898346397377075,5.756906435296701,5.789106525066895,749876400
2010-02-02,5.894131183624268,5.90797455361082,5.819499371791326,5.895636299546066,698342400
2010-02-03,5.995546817779541,6.024737871610872,5.850796525367367,5.873366836685999,615328000
2010-02-04,5.779476642608643,5.96966773508442,5.765031383318195,5.920313902761244,757652000
2010-02-05,5.882094860076904,5.898345776508649,5.743363398956661,5.796930431016203,850306800
2010-02-08,5.841770172119141,5.954922299400204,5.838158857075349,5.889017407022831,478270800
2010-02-09,5.9040632247924805,5.943485535788941,5.860728254652928,5.910984509080721,632886800
2010-02-10,5.871862888336182,5.916402032892487,5.845982604178523,5.8950346865672,370361600
2010-02-11,5.978695392608643,6.0111968229811845,5.839963934467913,5.864640849689512,550345600
